#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
850	625	32362718	32362718	24271	24271.000
1650	1300	32362718	32362718	3437	3437.000
950	700	32362718	32362718	19458	19458.000
750	400	32362718	32362718	25296	25296.000
1200	100	32362718	32362718	8553	8553.000
1900	300	32362718	32362718	2473	2473.000
1800	1450	32362718	32362718	2622	2622.000
1900	500	32362718	32362718	3642	3642.000
1700	950	32362718	32362718	1919	1919.000
1300	200	32362718	32362718	5190	5190.000
2000	1550	32362718	32362718	2787	2787.000
900	400	32362718	32362718	21490	21490.000
800	450	32362718	32362718	22090	22090.000
1650	0	32362718	32362718	2475	2475.000
1400	0	32362718	32362718	2378	2378.000
1000	450	32362718	32362718	17562	17562.000
1600	750	32362718	32362718	2500	2500.000
1550	1300	32362718	32362718	3657	3657.000
1350	650	32362718	32362718	4926	4926.000
1200	950	32362718	32362718	9881	9881.000
1400	450	32362718	32362718	3584	3584.000
1900	1000	32362718	32362718	3270	3270.000
600	350	32362718	32362718	58504	58504.000
1100	550	32362718	32362718	17694	17694.000
1700	1200	32362718	32362718	3147	3147.000
1850	200	32362718	32362718	1773	1773.000
1100	100	32362718	32362718	19306	19306.000
1300	550	32362718	32362718	5795	5795.000
950	550	32362718	32362718	24396	24396.000
1750	1200	32362718	32362718	2804	2804.000
2000	1150	32362718	32362718	3003	3003.000
1250	400	32362718	32362718	8105	8105.000
950	600	32362718	32362718	25416	25416.000
750	350	32362718	32362718	23677	23677.000
1450	650	32362718	32362718	2705	2705.000
1500	950	32362718	32362718	2930	2930.000
1250	650	32362718	32362718	7230	7230.000
1450	750	32362718	32362718	4532	4532.000
1000	775	32362718	32362718	18101	18101.000
1450	950	32362718	32362718	3390	3390.000
900	650	32362718	32362718	23896	23896.000
2000	1300	32362718	32362718	2571	2571.000
1650	100	32362718	32362718	3615	3615.000
1050	450	32362718	32362718	21014	21014.000
1550	750	32362718	32362718	3136	3136.000
2000	1500	32362718	32362718	5365	5365.000
1600	1250	32362718	32362718	2914	2914.000
950	500	32362718	32362718	25053	25053.000
1300	900	32362718	32362718	4430	4430.000
650	400	32362718	32362718	34312	34312.000
1900	600	32362718	32362718	1584	1584.000
1850	1500	32362718	32362718	1511	1511.000
1250	100	32362718	32362718	5848	5848.000
850	400	32362718	32362718	18997	18997.000
850	550	32362718	32362718	23778	23778.000
1300	1000	32362718	32362718	5020	5020.000
1700	700	32362718	32362718	2505	2505.000
1750	1350	32362718	32362718	3737	3737.000
1550	650	32362718	32362718	2897	2897.000
1900	1300	32362718	32362718	4054	4054.000
600	300	32362718	32362718	54972	54972.000
1200	750	32362718	32362718	11575	11575.000
1700	400	32362718	32362718	2309	2309.000
1000	750	32362718	32362718	26239	26239.000
1400	200	32362718	32362718	3555	3555.000
1450	300	32362718	32362718	4722	4722.000
1450	600	32362718	32362718	2213	2213.000
1500	0	32362718	32362718	2837	2837.000
800	350	32362718	32362718	23204	23204.000
1500	300	32362718	32362718	3427	3427.000
1900	200	32362718	32362718	3301	3301.000
1700	0	32362718	32362718	1681	1681.000
1500	900	32362718	32362718	2201	2201.000
1750	600	32362718	32362718	2744	2744.000
950	400	32362718	32362718	18964	18964.000
1800	1000	32362718	32362718	2517	2517.000
1800	100	32362718	32362718	2178	2178.000
1700	1300	32362718	32362718	2504	2504.000
